word,category
dog,animal
cat,animal
lion,animal
tiger,animal
elephant,animal
giraffe,animal
zebra,animal
horse,animal
cow,animal
sheep,animal
goat,animal
rabbit,animal
deer,animal
monkey,animal
bear,animal
wolf,animal
fox,animal
kangaroo,animal
panda,animal
dolphin,animal
shark,animal
whale,animal
octopus,animal
eagle,animal
falcon,animal
parrot,animal
penguin,animal
ostrich,animal
crocodile,animal
alligator,animal
snake,animal
lizard,animal
frog,animal
toad,animal
turtle,animal
hamster,animal
mouse,animal
rat,animal
squirrel,animal
hedgehog,animal
ant,animal
bee,animal
butterfly,animal
dragonfly,animal
mosquito,animal
spider,animal
scorpion,animal
crab,animal
lobster,animal
snail,animal
slug,animal
jellyfish,animal
starfish,animal
seal,animal
otter,animal
walrus,animal
chimpanzee,animal
gorilla,animal
hippopotamus,animal
rhinoceros,animal
buffalo,animal
bison,animal
peacock,animal
swan,animal
duck,animal
goose,animal
rooster,animal
hen,animal
turkey,animal
canary,animal
woodpecker,animal
hawk,animal
vulture,animal
bat,animal
beaver,animal
mole,animal
platypus,animal
camel,animal
donkey,animal
mule,animal
reindeer,animal
boar,animal
porcupine,animal
skunk,animal
coyote,animal
jaguar,animal
leopard,animal
cheetah,animal
lynx,animal
caracal,animal
chameleon,animal
gecko,animal
anaconda,animal
python,animal
cobra,animal
viper,animal
tarantula,animal
scallop,animal
barnacle,animal
cockroach,animal
firefly,animal
grasshopper,animal
cricket,animal
wasp,animal
hornet,animal
apple,fruit_vegetable
banana,fruit_vegetable
orange,fruit_vegetable
grape,fruit_vegetable
mango,fruit_vegetable
pineapple,fruit_vegetable
peach,fruit_vegetable
pear,fruit_vegetable
plum,fruit_vegetable
kiwi,fruit_vegetable
melon,fruit_vegetable
watermelon,fruit_vegetable
cantaloupe,fruit_vegetable
cherry,fruit_vegetable
strawberry,fruit_vegetable
blueberry,fruit_vegetable
raspberry,fruit_vegetable
blackberry,fruit_vegetable
pomegranate,fruit_vegetable
fig,fruit_vegetable
coconut,fruit_vegetable
lemon,fruit_vegetable
lime,fruit_vegetable
papaya,fruit_vegetable
avocado,fruit_vegetable
date,fruit_vegetable
olive,fruit_vegetable
passionfruit,fruit_vegetable
apricot,fruit_vegetable
persimmon,fruit_vegetable
nectarine,fruit_vegetable
grapefruit,fruit_vegetable
tangerine,fruit_vegetable
cabbage,fruit_vegetable
lettuce,fruit_vegetable
spinach,fruit_vegetable
kale,fruit_vegetable
broccoli,fruit_vegetable
cauliflower,fruit_vegetable
carrot,fruit_vegetable
tomato,fruit_vegetable
onion,fruit_vegetable
garlic,fruit_vegetable
potato,fruit_vegetable
turnip,fruit_vegetable
radish,fruit_vegetable
beet,fruit_vegetable
cucumber,fruit_vegetable
zucchini,fruit_vegetable
squash,fruit_vegetable
pumpkin,fruit_vegetable
peas,fruit_vegetable
soybean,fruit_vegetable
chickpea,fruit_vegetable
lentil,fruit_vegetable
asparagus,fruit_vegetable
eggplant,fruit_vegetable
celery,fruit_vegetable
leek,fruit_vegetable
mushroom,fruit_vegetable
okra,fruit_vegetable
shallot,fruit_vegetable
artichoke,fruit_vegetable
